idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;18;2;4;2;2;220;160;29;14,19978714;1313,734619;14,31543428;1325,299333;1156471,352;160,703064;80597,35216;1075874;"[2; 4; 2; 11; 8]"
0;15;4;7;4;1;240;220;27;14,20071983;1179,348999;14,41162484;1200,4395;2109050,1;159,8822327;80516,09979;2028534;"[4; 7; 1; 12; 11]"
0;19;2;4;2;1;400;160;29;14,20402813;1137,880249;14,44832749;1162,310185;2442993,645;180,3974762;82431,64525;2360562;"[2; 4; 1; 20; 8]"
0;19;2;8;2;1;220;180;29;14,20407486;1095,153809;14,34840605;1109,586927;1443311,888;166,8178101;81189,88815;1362122;"[2; 8; 1; 11; 9]"
0;20;2;7;2;2;240;180;29;14,21245289;1336,659546;14,36540135;1351,954392;1529484,62;150,2542267;79530,61955;1449954;"[2; 7; 2; 12; 9]"
0;20;2;8;2;1;220;140;29;14,21583271;1135,305176;14,34299756;1148,021661;1271648,491;183,7810211;82726,49106;1188922;"[2; 8; 1; 11; 7]"
0;15;3;6;3;2;160;160;28;14,22259903;1281,842896;14,32514106;1292,097098;1025420,263;165,2729492;81042,26294;944378;"[3; 6; 2; 8; 8]"
0;19;2;4;2;2;180;140;29;14,22841263;1232,811279;14,31489918;1241,459934;864865,4918;168,5255127;81351,49179;783514;"[2; 4; 2; 9; 7]"
0;19;1;5;1;1;340;200;30;14,22907257;1267,860718;14,43549809;1288,503269;2064255,162;152,5686493;79773,16172;1984482;"[1; 5; 1; 17; 10]"
0;15;2;2;2;1;300;120;29;14,22953987;1093,550293;14,36429969;1107,026275;1347598,232;227,5521851;86116,23206;1261482;"[2; 2; 1; 15; 6]"
0;19;2;4;2;1;280;140;29;14,23830509;1260,438721;14,38180537;1274,788748;1435002,776;179,1413574;82320,77591;1352682;"[2; 4; 1; 14; 7]"
0;15;2;2;2;1;140;140;29;14,24202061;1087,511719;14,30404368;1093,714026;620230,7665;203,0528107;84308,76655;535922;"[2; 2; 1; 7; 7]"
0;18;2;4;2;2;180;120;29;14,25347042;1251,030884;14,33305188;1258,989029;795814,5429;185,8080902;82900,54288;712914;"[2; 4; 2; 9; 6]"
0;18;2;4;2;2;180;120;29;14,25347042;1251,030884;14,33305188;1258,989029;795814,5429;185,8080902;82900,54288;712914;"[2; 4; 2; 9; 6]"
0;15;4;2;4;2;260;160;27;14,25479412;1132,769897;14,39466742;1146,757228;1398733,029;183,2783051;82683,02887;1316050;"[4; 2; 2; 13; 8]"
0;14;3;4;3;1;340;180;28;14,25687599;1124,267944;14,47869748;1146,450093;2218214,88;180,7301636;82460,88008;2135754;"[3; 4; 1; 17; 9]"
0;15;3;3;3;1;360;120;28;14,26000595;1064,321045;14,45508125;1083,828575;1950753,018;221,4792328;85687,01751;1865066;"[3; 3; 1; 18; 6]"
0;19;1;9;1;1;380;160;30;14,26007652;1264,329834;14,49166412;1287,488594;2315875,968;162,6247864;80785,9677;2235090;"[1; 9; 1; 19; 8]"
